backend                 n steps thr      time    Mcells/s      GB/s  checksum
serial               2000   500   1   0.6292s      3172.2      50.8  2344929.764254
threads-spawn        2000   500   1   0.6365s      3136.0      50.2  2344929.764254  0.99x
threads-spawn        2000   500   2   0.3922s      5089.3      81.4  2344929.764254  1.60x
threads-spawn        2000   500   4   0.3504s      5696.6      91.1  2344929.764254  1.80x
threads-spawn        2000   500   8   0.3536s      5644.4      90.3  2344929.764254  1.78x
threads-spawn        2000   500  10   0.3653s      5464.1      87.4  2344929.764254  1.72x
threads-persistent   2000   500   1   0.6167s      3236.5      51.8  2344929.764254  1.02x
threads-persistent   2000   500   2   0.3889s      5132.0      82.1  2344929.764254  1.62x
threads-persistent   2000   500   4   0.3102s      6434.8     103.0  2344929.764254  2.03x
threads-persistent   2000   500   8   0.4237s      4711.1      75.4  2344929.764254  1.49x
threads-persistent   2000   500  10   0.4363s      4574.5      73.2  2344929.764254  1.44x
openmp               2000   500   1   0.6189s      3225.2      51.6  2344929.764254  1.02x
openmp               2000   500   2   0.3848s      5187.0      83.0  2344929.764254  1.64x
openmp               2000   500   4   0.3194s      6248.5     100.0  2344929.764254  1.97x
openmp               2000   500   8   0.3538s      5641.3      90.3  2344929.764254  1.78x
openmp               2000   500  10   0.3584s      5569.8      89.1  2344929.764254  1.76x
