backend                 n steps thr      time    Mcells/s      GB/s  checksum
serial                512  8000   1   0.4516s      4607.1      73.7  2128473.903721
threads-spawn         512  8000   1   0.5581s      3728.1      59.6  2128473.903721  0.81x
threads-spawn         512  8000   2   0.3781s      5503.2      88.1  2128473.903721  1.19x
threads-spawn         512  8000   4   0.3664s      5679.3      90.9  2128473.903721  1.23x
threads-spawn         512  8000   8   0.4805s      4330.9      69.3  2128473.903721  0.94x
threads-spawn         512  8000  10   0.5379s      3868.0      61.9  2128473.903721  0.84x
threads-persistent    512  8000   1   0.4526s      4597.1      73.6  2128473.903721  1.00x
threads-persistent    512  8000   2   0.2310s      9006.7     144.1  2128473.903721  1.95x
threads-persistent    512  8000   4   0.1672s     12447.5     199.2  2128473.903721  2.70x
threads-persistent    512  8000   8   0.1757s     11842.0     189.5  2128473.903721  2.57x
threads-persistent    512  8000  10   0.1561s     13331.0     213.3  2128473.903721  2.89x
openmp                512  8000   1   0.4713s      4414.9      70.6  2128473.903721  0.96x
openmp                512  8000   2   0.3267s      6368.8     101.9  2128473.903721  1.38x
openmp                512  8000   4   0.2970s      7005.1     112.1  2128473.903721  1.52x
openmp                512  8000   8   0.4681s      4445.4      71.1  2128473.903721  0.96x
openmp                512  8000  10   0.5345s      3893.3      62.3  2128473.903721  0.85x
