backend,n,steps,threads,seconds,mcells_per_s,gbytes_per_s,checksum
serial,2000,500,1,0.629222,3172.17,50.7548,2344929.764254
threads-spawn,2000,500,1,0.636483,3135.987789,50.175805,2344929.764254
threads-spawn,2000,500,2,0.392195,5089.312864,81.429006,2344929.764254
threads-spawn,2000,500,4,0.350384,5696.615574,91.145849,2344929.764254
threads-spawn,2000,500,8,0.353627,5644.378373,90.310054,2344929.764254
threads-spawn,2000,500,10,0.365297,5464.053166,87.424851,2344929.764254
threads-persistent,2000,500,1,0.616709,3236.537160,51.784595,2344929.764254
threads-persistent,2000,500,2,0.388935,5131.972461,82.111559,2344929.764254
threads-persistent,2000,500,4,0.310188,6434.817190,102.957075,2344929.764254
threads-persistent,2000,500,8,0.423685,4711.052777,75.376844,2344929.764254
threads-persistent,2000,500,10,0.436328,4574.540466,73.192647,2344929.764254
openmp,2000,500,1,0.618872,3225.226979,51.603632,2344929.764254
openmp,2000,500,2,0.384811,5186.970478,82.991528,2344929.764254
openmp,2000,500,4,0.319435,6248.541272,99.976660,2344929.764254
openmp,2000,500,8,0.353822,5641.252992,90.260048,2344929.764254
openmp,2000,500,10,0.358364,5569.767300,89.116277,2344929.764254
